106	Dennis Schröder	31	GSW	SG	24	18	26.2	3.9	10.5	.375	1.5	4.8	.322	2.4	5.7	.419	.448	1.2	1.6	.744	0.4	1.9	2.3	4.4	1.0	0.1	2.0	2.8	10.6	
107	P.J. Washington	26	DAL	PF	42	41	32.9	5.2	11.8	.439	1.6	4.3	.380	3.6	7.6	.472	.507	2.4	3.2	.750	1.6	6.7	8.4	2.3	1.2	1.0	1.9	2.5	14.4	
108	Josh Hart	29	NYK	SG	50	50	37.6	5.5	9.9	.558	1.1	3.3	.343	4.4	6.6	.666	.615	2.1	2.6	.815	2.2	7.4	9.7	5.8	1.5	0.4	1.9	2.6	14.3	
109	Kelly Oubre Jr.	29	PHI	SF	47	44	34.5	5.5	12.0	.456	1.2	4.2	.291	4.3	7.8	.545	.507	2.2	3.0	.741	1.7	4.8	6.4	1.9	1.5	0.5	1.3	2.9	14.3	
110	Jakob Poeltl	29	TOR	C	45	44	30.9	6.2	10.2	.610	0.0	0.0	.000	6.2	10.2	.613	.610	1.7	2.6	.658	3.5	6.6	10.1	2.8	1.2	1.3	1.9	3.3	14.2	
111	Tre Mann	23	CHO	PG	13	0	24.5	5.4	12.4	.435	1.8	4.6	.400	3.5	7.8	.455	.509	1.5	1.6	.905	0.9	2.0	2.9	3.0	0.5	0.3	1.9	1.8	14.1	
112	Naz Reid	25	MIN	C	51	4	26.0	5.2	10.7	.484	2.2	5.3	.417	3.0	5.4	.549	.587	1.4	1.7	.798	1.0	4.3	5.3	1.9	0.8	0.9	1.2	2.3	14.0	
113	Payton Pritchard	27	BOS	PG	51	0	27.7	4.9	10.4	.470	3.2	7.6	.415	1.7	2.7	.621	.622	1.0	1.2	.847	1.4	2.3	3.7	3.4	0.9	0.2	1.0	1.6	13.9	
114	Dyson Daniels	21	ATL	SG	46	46	33.8	5.8	12.3	.472	1.2	3.5	.325	4.6	8.7	.531	.519	1.1	1.8	.617	1.7	3.7	5.4	3.8	3.0	0.8	1.9	2.5	13.8	
115	Amen Thompson	22	HOU	SF	48	21	31.4	5.3	9.7	.545	0.3	1.3	.233	5.0	8.4	.592	.560	3.0	4.1	.714	2.7	5.3	8.0	3.2	1.4	1.2	2.0	2.3	13.8	
